id,zone,area,averageDistanceKm,deliveryCost,customerDeliveryFee,freeDeliveryValue,createdAt,updatedAt,subArea
zone_1779175110733_l1tzmpeg8,1,التجمع الخامس,16.2,40,40,900,2026-05-19 07:18:30.733+00,2026-06-16 12:45:25.234+00,حي الأندلس
zone_1779175110733_ngyg7th68,1,التجمع الخامس,16,40,40,900,2026-05-19 07:18:30.733+00,2026-06-16 12:45:25.234+00,المصنع
zone_1779175206458_dlimb8o0r,2,القطامية,17,40,40,900,2026-05-19 07:20:06.458+00,2026-06-16 12:45:25.234+00,قطامية بلازا
zone_1779175533049_03tvemogl,1,التجمع الخامس,18.4,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,زيزينيا جاردنز
zone_1779175533049_eggsa8ly2,1,التجمع الخامس,18.9,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,ميفيدا
zone_1779175533049_eq92avqca,1,التجمع الخامس,17.4,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,روضة الأزهر
zone_1779175533049_f9qkt47f4,1,التجمع الخامس,18.2,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,كمبوند اوريانا
zone_1779175533049_id1r1vmur,1,التجمع الخامس,18.8,75,75,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,النخيل
zone_1779175533049_k5z2tc3lz,1,التجمع الخامس,18,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,البنفسج
zone_1779175533049_lu8g91g8o,1,التجمع الخامس,19,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,غرب الجولف
zone_1779175533049_ucq60h1rl,1,التجمع الخامس,17.4,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,فاميلي سيتي
zone_1779175533049_vo9knthll,1,التجمع الخامس,19.2,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,درة القاهرة
zone_1779175533049_x4veqkwn3,1,التجمع الخامس,18.8,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,فاونتين بارك
zone_1779175533049_z23r5sxc8,1,التجمع الخامس,19,40,40,900,2026-05-19 07:25:33.049+00,2026-06-16 12:45:25.234+00,ستون ريزيدنس
zone_1779175922505_33v5szs0o,3,التجمع الخامس,20.8,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,كمبوند باتيو
zone_1779175922505_4cjd1xene,3,التجمع الخامس,21,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,كونكورديا
zone_1779175922505_7zaj6xwrs,3,التجمع الخامس,20.4,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,لوتس
zone_1779175922505_ixsdql5li,3,التجمع الخامس,22.8,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,ماونتن فيو
zone_1779175922505_k23zpjh75,3,التجمع الخامس,23,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,فيليت سوديك
zone_1779175922505_l8y0z029w,3,التجمع الخامس,21.8,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,كمبوند لاند مارك
zone_1779175922505_o17aodfjz,3,التجمع الخامس,23,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,ديار بارك
